date,tile,ID_PARCEL,ndvi_mean,ndvi_median,px_count,cloud_scene
2023-03-16,31TDJ,1919042,0.28731500534784227,0.28608810901641846,42,0.000619
2023-03-16,31TDJ,1925709,0.30807815657721627,0.292130708694458,18,0.000619
2023-03-16,31TDJ,1948212,0.31029716491699216,0.3040025234222412,50,0.000619
2023-03-16,31TDJ,1956301,0.16214594474205604,0.1588379442691803,26,0.000619
2023-03-16,31TDJ,10015343,0.3387706601941908,0.3366832435131073,74,0.000619
2023-03-16,31TDJ,1973214,0.3621318680899484,0.3801172971725464,14,0.000619
2023-03-16,31TDJ,1985156,0.2736337184906006,0.2700941264629364,36,0.000619
2023-03-16,31TDJ,2014478,0.1541662685206679,0.13892367482185364,122,0.000619
2023-03-16,31TDJ,10015520,0.23413992827793337,0.23848716914653778,53,0.000619
2023-03-16,31TDJ,2037229,0.13709347283662254,0.12954092025756836,134,0.000619
2023-03-16,31TDJ,2049436,0.09274047780259748,0.078184112906456,107,0.000619
2023-03-16,31TDJ,2062890,0.13825417819776034,0.12702366709709167,38,0.000619
2023-03-16,31TDJ,2082719,0.33929067626035303,0.3606504201889038,133,0.000619
2023-03-16,31TDJ,2091170,0.20912631195370512,0.1907200962305069,101,0.000619
2023-03-16,31TDJ,2122701,0.2727531754826925,0.2674083113670349,83,0.000619
2023-03-16,31TDJ,2161222,0.15899951874263704,0.14944835007190704,63,0.000619
2023-03-16,31TDJ,2203972,0.14890563664177955,0.14124293625354767,203,0.000619
2023-03-16,31TDJ,2220547,0.1871689189564098,0.1844726949930191,55,0.000619
2023-03-16,31TDJ,670521,0.25079204852764425,0.23399637639522552,65,0.000619
2023-03-16,31TDJ,2268823,0.3377407866638976,0.32828009128570557,77,0.000619
2023-03-16,31TDJ,2282943,0.23883122983186142,0.23476341366767883,46,0.000619
2023-03-16,31TDJ,2286770,0.25899160825289214,0.2550090551376343,26,0.000619
2023-03-16,31TDJ,2289867,0.3265795456735711,0.3302661180496216,76,0.000619
2023-03-16,31TDJ,2320377,0.27687016129493713,0.2817118465900421,8,0.000619
2023-03-16,31TDJ,2324285,0.42666880289713544,0.4471571445465088,21,0.000619
2023-03-16,31TDJ,2333348,0.38602132267422146,0.3846678137779236,9,0.000619
2023-03-16,31TDJ,2362082,0.3302618224045326,0.32520782947540283,116,0.000619
2023-03-16,31TDJ,2401019,0.2550830147483132,0.2512420117855072,55,0.000619
2023-03-16,31TDJ,2420798,0.14310939540803985,0.1296732872724533,969,0.000619
2023-03-16,31TDJ,2434710,0.1556940296469214,0.14572089910507202,219,0.000619
2023-03-16,31TDJ,2484575,0.202972936630249,0.18900227546691895,40,0.000619
2023-03-16,31TDJ,2491318,0.09406930750066583,0.08277080953121185,308,0.000619
2023-03-16,31TDJ,2500508,0.2803308367729187,0.2803308367729187,2,0.000619
2023-03-16,31TDJ,2537496,0.11780102112713982,0.10410308837890625,51,0.000619
2023-03-16,31TDJ,2546326,0.29465928285018256,0.30929791927337646,23,0.000619
2023-03-16,31TDJ,2547757,0.21973784495208223,0.21412017941474915,118,0.000619
2023-03-16,31TDJ,2554877,0.5143094380696615,0.5283582210540771,75,0.000619
2023-03-16,31TDJ,2572538,0.12472458971225149,0.11406578123569489,123,0.000619
2023-03-16,31TDJ,2575385,0.12445404950310202,0.10190664231777191,85,0.000619
2023-03-16,31TDJ,5491027,0.29116590590704056,0.28704941272735596,105,0.000619
2023-03-16,31TDJ,2616577,0.19774755468509467,0.20743827521800995,203,0.000619
2023-03-16,31TDJ,2619637,0.23716370955757474,0.23699942231178284,46,0.000619
2023-03-16,31TDJ,2620769,0.30645252795929606,0.30256855487823486,47,0.000619
2023-03-16,31TDJ,1987029,0.2802007311866397,0.27409201860427856,84,0.000619
2023-03-16,31TDJ,2653199,0.24901407957077026,0.24583764374256134,12,0.000619
2023-03-16,31TDJ,2657300,0.19899277809338692,0.19164009392261505,39,0.000619
2023-03-16,31TDJ,2659328,0.16375005501022666,0.15184777975082397,233,0.000619
2023-03-16,31TDJ,2704579,0.17831423867073504,0.17582418024539948,257,0.000619
2023-03-16,31TDJ,2714693,0.3133998822562302,0.3363901674747467,79,0.000619
2023-03-16,31TDJ,5402938,0.20902729034423828,0.2103736400604248,90,0.000619
2023-03-16,31TDJ,2722664,0.32534074783325195,0.31899404525756836,26,0.000619
2023-03-16,31TDJ,2735014,0.26066531737645465,0.24817731976509094,6,0.000619
2023-03-16,31TDJ,2742913,0.17031784852345785,0.16690286993980408,24,0.000619
2023-03-16,31TDJ,2769359,0.2870010927499059,0.28314119577407837,83,0.000619
2023-03-16,31TDJ,2798453,0.14678028651646205,0.14400145411491394,84,0.000619
